Player,Tm, Cap Hit 
Darnell Nurse,EDM," $ 9,250,000.00 "
Adam Fox,NYR," $ 9,500,000.00 "
Kirill Kaprizov,MIN," $ 9,000,000.00 "
Filip Forsberg,NSH," $ 8,500,000.00 "
Mathew Barzal,NYI," $ 7,000,000.00 "
Timo Meier,SJS," $ 6,000,000.00 "
Alex DeBrincat,OTT," $ 6,400,000.00 "
Cale Makar,COL," $ 9,000,000.00 "
Ryan Johansen,NSH," $ 8,000,000.00 "
Jacob Markstrom,CGY," $ 6,000,000.00 "
Torey Krug,STL," $ 6,500,000.00 "
Elias Pettersson,VAN," $ 7,350,000.00 "
Johnny Gaudreau,CBJ," $ 9,750,000.00 "
Colton Parayko,STL," $ 6,500,000.00 "
Mikhail Sergachev,TBL," $ 4,800,000.00 "
Claude Giroux,OTT," $ 6,500,000.00 "
Jack Hughes,NJD," $ 8,000,000.00 "
Miro Heiskanen,DAL," $ 8,450,000.00 "
John Klingberg,ANA," $ 7,000,000.00 "
Anze Kopitar,LAK," $ 10,000,000.00 "
Drew Doughty,LAK," $ 11,000,000.00 "
Andrei Svechnikov,CAR," $ 7,750,000.00 "
"Anderson, Josh",MTL," $ 5,500,000.00 "
Nathan MacKinnon,COL," $ 6,300,000.00 "
Brock Boeser,VAN," $ 6,650,000.00 "
Brady Tkachuk,OTT," $ 8,205,714.00 "
Brendan Gallagher,MTL," $ 6,500,000.00 "
Blake Wheeler,WPG," $ 8,250,000.00 "
Neal Pionk,WPG," $ 5,875,000.00 "
Quinn Hughes,VAN," $ 7,850,000.00 "
Anthony Mantha,WSH," $ 5,700,000.00 "
"Dadonov, Evgeni",MTL," $ 5,000,000.00 "
John Gibson,ANA," $ 6,400,000.00 "
Andre Burakovsky,SEA," $ 5,500,000.00 "
Philipp Grubauer,SEA," $ 5,900,000.00 "
Ryan Pulock,NYI," $ 6,150,000.00 "
Bryan Rust,PIT," $ 5,125,000.00 "
Jared Spurgeon,MIN," $ 7,575,000.00 "
Sean Monahan,MTL," $ 6,375,000.00 "
Jaden Schwartz,SEA," $ 5,500,000.00 "
Jacob Trouba,NYR," $ 8,000,000.00 "
Igor Shesterkin,NYR," $ 5,666,667.00 "
Pierre-Luc Dubois,WPG," $ 6,000,000.00 "
Mikko Rantanen,COL," $ 9,250,000.00 "
Erik Johnson,COL," $ 6,000,000.00 "
Jordan Staal,CAR," $ 6,000,000.00 "
Jordan Binnington,STL," $ 6,000,000.00 "
Rickard Rakell,PIT," $ 5,000,000.00 "
Taylor Hall,BOS," $ 6,000,000.00 "
Charlie McAvoy,BOS," $ 9,500,000.00 "
Sam Reinhart,FLA," $ 6,500,000.00 "
Sergei Bobrovsky,FLA," $ 10,000,000.00 "
Nick Suzuki,MTL," $ 7,875,000.00 "
William Karlsson,VEG," $ 5,900,000.00 "
Kevin Labanc,SJS," $ 4,725,000.00 "
Anders Lee,NYI," $ 7,000,000.00 "
Justin Faulk,STL," $ 6,500,000.00 "
Adam Henrique,ANA," $ 5,825,000.00 "
Rasmus Dahlin,BUF," $ 6,000,000.00 "
Adam Pelech,NYI," $ 5,750,000.00 "
Tomas Hertl,SJS," $ 8,137,500.00 "
Joe Pavelski,DAL," $ 5,500,000.00 "
Mattias Ekholm,NSH," $ 6,250,000.00 "
Mark Scheifele,WPG," $ 6,125,000.00 "
Josh Manson,COL," $ 4,500,000.00 "
Jaccob Slavin,CAR," $ 5,300,000.00 "
Vladimir Tarasenko,STL," $ 7,500,000.00 "
Pavel Buchnevich,STL," $ 5,800,000.00 "
Ryan McDonagh,NSH," $ 6,750,000.00 "
Jesper Bratt,NJD," $ 5,450,000.00 "
Brady Skjei,CAR," $ 5,250,000.00 "
Travis Sanheim,PHI," $ 4,675,000.00 "
Mikael Backlund,CGY," $ 5,350,000.00 "
Patric Hornqvist,FLA," $ 5,300,000.00 "
Cam Atkinson,PHI," $ 5,875,000.00 "
Elvis Merzlikins,CBJ," $ 5,400,000.00 "
Jakob Silfverberg,ANA," $ 5,250,000.00 "
Oliver Bjorkstrand,SEA," $ 5,400,000.00 "
Dylan Larkin,DET," $ 6,100,000.00 "
Tyler Bertuzzi,DET," $ 4,750,000.00 "
Ryan Nugent-Hopkins,EDM," $ 5,125,000.00 "
Matt Murray,TOR," $ 4,687,500.00 "
Hampus Lindholm,BOS," $ 6,500,000.00 "
Brock Nelson,NYI," $ 6,000,000.00 "
Brayden Schenn,STL," $ 6,500,000.00 "
Shea Theodore,VEG," $ 5,200,000.00 "
Jason Zucker,PIT," $ 5,500,000.00 "
"Dumba, Matt",MIN," $ 6,000,000.00 "
"Morrissey, Joshua",WPG," $ 6,250,000.00 "
Tyler Toffoli,CGY," $ 4,250,000.00 "
Damon Severson,NJD," $ 4,166,666.00 "
Zach Hyman,EDM," $ 5,500,000.00 "
Jonas Brodin,MIN," $ 6,000,000.00 "
Tyler Seguin,DAL," $ 9,850,000.00 "
Mason Marchment,DAL," $ 4,500,000.00 "
Esa Lindell,DAL," $ 5,800,000.00 "
Mikael Granlund,NSH," $ 5,000,000.00 "
Juuse Saros,NSH," $ 5,000,000.00 "
Gustav Nyquist,CBJ," $ 5,500,000.00 "
Erik Gudbranson,CBJ," $ 4,000,000.00 "
Ryan Strome,ANA," $ 5,000,000.00 "
Jared McCann,SEA," $ 5,000,000.00 "
Alexander Wennberg,SEA," $ 4,500,000.00 "
Kyle Connor,WPG," $ 7,142,857.00 "
Nate Schmidt,WPG," $ 5,950,000.00 "
Kyle Palmieri,NYI," $ 5,000,000.00 "
Anthony DeAngelo,PHI," $ 5,000,000.00 "
Victor Hedman,TBL," $ 7,875,000.00 "
Artturi Lehkonen,COL," $ 4,500,000.00 "
Samuel Girard,COL," $ 5,000,000.00 "
Marc-Edouard Vlasic,SJS," $ 7,000,000.00 "
Nick Leddy,STL," $ 4,000,000.00 "
Tyler Myers,VAN," $ 6,000,000.00 "
Jake Guentzel,PIT," $ 6,000,000.00 "
Linus Ullmark,BOS," $ 5,000,000.00 "
"Hoffman, Mike",MTL," $ 4,500,000.00 "
Noah Hanifin,CGY," $ 4,950,000.00 "
Blake Coleman,CGY," $ 4,900,000.00 "
Andrew Mangiapane,CGY," $ 5,800,000.00 "
Cam Fowler,ANA," $ 6,500,000.00 "
Jordan Eberle,SEA," $ 5,500,000.00 "
MacKenzie Weegar,CGY," $ 3,250,000.00 "
Alex Tuch,BUF," $ 4,750,000.00 "
Victor Olofsson,BUF," $ 4,750,000.00 "
Oliver Ekman-Larsson,VAN," $ 7,260,000.00 "
Devon Toews,COL," $ 4,100,000.00 "
Rasmus Andersson,CGY," $ 4,550,000.00 "
Nico Hischier,NJD," $ 7,250,000.00 "
Mats Zuccarello,MIN," $ 6,000,000.00 "
Andrew Copp,DET," $ 5,625,000.00 "
Filip Hronek,DET," $ 4,400,000.00 "
Connor Hellebuyck,WPG," $ 6,166,666.00 "
Jean-Gabriel Pageau,NYI," $ 5,000,000.00 "
Tyson Barrie,EDM," $ 4,500,000.00 "
Andrei Vasilevskiy,TBL," $ 9,500,000.00 "
Nazem Kadri,CGY," $ 7,000,000.00 "
Chris Tanev,CGY," $ 4,500,000.00 "
Clayton Keller,ARI," $ 7,150,000.00 "
Brandon Saad,STL," $ 4,500,000.00 "
J.T. Miller,VAN," $ 5,250,000.00 "
Jeff Petry,PIT," $ 6,250,000.00 "
Tristan Jarry,PIT," $ 3,500,000.00 "
Roope Hintz,DAL," $ 3,150,000.00 "
Alex Killorn,TBL," $ 4,450,000.00 "
Bo Horvat,VAN," $ 5,500,000.00 "
Erik Cernak,TBL," $ 2,950,000.00 "
David Pastrnak,BOS," $ 6,666,667.00 "
Ilya Mikheyev,VAN," $ 4,750,000.00 "
Craig Smith,BOS," $ 3,100,000.00 "
Adrian Kempe,LAK," $ 5,500,000.00 "
Viktor Arvidsson,LAK," $ 4,250,000.00 "
Ben Chiarot,DET," $ 4,750,000.00 "
Alec Martinez,VEG," $ 5,250,000.00 "
Matt Grzelcyk,BOS," $ 3,687,500.00 "
David Savard,MTL," $ 3,500,000.00 "
Vladislav Gavrikov,CBJ," $ 2,800,000.00 "
Jonathan Huberdeau,CGY," $ 5,900,000.00 "
Petr Mrazek,CHI," $ 3,800,000.00 "
Anthony Beauvillier,NYI," $ 4,150,000.00 "
Yanni Gourde,SEA," $ 5,166,666.00 "
Brian Dumoulin,PIT," $ 4,100,000.00 "
Marcus Pettersson,PIT," $ 4,025,175.00 "
Brett Pesce,CAR," $ 4,025,000.00 "
Ryan Graves,NJD," $ 3,166,667.00 "
Radek Faksa,DAL," $ 3,250,000.00 "
Ryan Suter,DAL," $ 3,650,000.00 "
Matt Duchene,NSH," $ 8,000,000.00 "
Nino Niederreiter,NSH," $ 4,000,000.00 "
Jack Roslovic,CBJ," $ 4,000,000.00 "
Vince Dunn,SEA," $ 4,000,000.00 "
Noah Dobson,NYI," $ 4,000,000.00 "
Semyon Varlamov,NYI," $ 5,000,000.00 "
Ilya Sorokin,NYI," $ 4,000,000.00 "
Rasmus Ristolainen,PHI," $ 5,100,000.00 "
Nikita Kucherov,TBL," $ 9,500,000.00 "
Morgan Rielly,TOR," $ 7,500,000.00 "
Jesperi Kotkaniemi,CAR," $ 4,820,000.00 "
Logan Couture,SJS," $ 8,000,000.00 "
Jake McCabe,CHI," $ 4,000,000.00 "
Conor Garland,VAN," $ 4,950,000.00 "
John Carlson,WSH," $ 8,000,000.00 "
Darcy Kuemper,WSH," $ 5,250,000.00 "
Evgeni Malkin,PIT," $ 6,100,000.00 "
Kris Letang,PIT," $ 6,100,000.00 "
Jake DeBrusk,BOS," $ 4,000,000.00 "
Elias Lindholm,CGY," $ 4,850,000.00 "
Philippe Myers,TBL," $ 2,550,000.00 "
Jake Allen,MTL," $ 2,875,000.00 "
Boone Jenner,CBJ," $ 3,750,000.00 "
Pius Suter,DET," $ 3,250,000.00 "
Ville Husso,DET," $ 4,750,000.00 "
Kevin Hayes,PHI," $ 7,142,857.00 "
Travis Konecny,PHI," $ 5,500,000.00 "
Nikita Zadorov,CGY," $ 3,750,000.00 "
Reilly Smith,VEG," $ 5,000,000.00 "
Frank Vatrano,ANA," $ 3,650,000.00 "
Carter Hart,PHI," $ 3,979,000.00 "
Lawson Crouse,ARI," $ 4,300,000.00 "
Alexandar Georgiev,COL," $ 3,400,000.00 "
Drake Batherson,OTT," $ 4,975,000.00 "
John Marino,NJD," $ 4,400,000.00 "
Adam Larsson,SEA," $ 4,000,000.00 "
Carson Soucy,SEA," $ 2,750,000.00 "
Alex Nedeljkovic,DET," $ 3,000,000.00 "
Josh Bailey,NYI," $ 5,000,000.00 "
Jack Campbell,EDM," $ 5,000,000.00 "
Brayden Point,TBL," $ 9,500,000.00 "
Zack Kassian,ARI," $ 3,200,000.00 "
J.T. Compher,COL," $ 3,500,000.00 "
Thatcher Demko,VAN," $ 5,000,000.00 "
Jonathan Marchessault,VEG," $ 5,000,000.00 "
Nicolas Roy,VEG," $ 3,000,000.00 "
Dylan Strome,WSH," $ 3,500,000.00 "
Pavel Zacha,BOS," $ 3,500,000.00 "
Brandon Carlo,BOS," $ 4,100,000.00 "
Christian Dvorak,MTL," $ 4,450,000.00 "
Sam Bennett,FLA," $ 4,425,000.00 "
David Perron,DET," $ 4,750,000.00 "
Dougie Hamilton,NJD," $ 9,000,000.00 "
Nick Ritchie,ARI," $ 2,500,000.00 "
Artem Zub,OTT," $ 2,500,000.00 "
Tomas Tatar,NJD," $ 4,500,000.00 "
Kevin Fiala,LAK," $ 7,875,000.00 "
Matt Roy,LAK," $ 3,150,000.00 "
Adam Lowry,WPG," $ 3,250,000.00 "
Brett Kulak,EDM," $ 2,750,000.00 "
Jeff Carter,PIT," $ 3,125,000.00 "
Jan Rutta,PIT," $ 2,750,000.00 "
Miles Wood,NJD," $ 3,200,000.00 "
Jordan Kyrou,STL," $ 2,800,000.00 "
Robert Thomas,STL," $ 2,800,000.00 "
Kasperi Kapanen,PIT," $ 3,200,000.00 "
Chandler Stephenson,VEG," $ 2,750,000.00 "
Marcus Foligno,MIN," $ 3,100,000.00 "
Cam Talbot,OTT," $ 3,666,667.00 "
Joel Eriksson Ek,MIN," $ 5,250,000.00 "
Joel Armia,MTL," $ 3,400,000.00 "
Justin Schultz,SEA," $ 3,000,000.00 "
Sean Walker,LAK," $ 2,650,000.00 "
Oskar Sundqvist,DET," $ 2,750,000.00 "
Vincent Trocheck,NYR," $ 5,625,000.00 "
Ryan Lindgren,NYR," $ 3,000,000.00 "
Brenden Dillon,WPG," $ 3,900,000.00 "
Dylan DeMelo,WPG," $ 3,000,000.00 "
Jesse Puljujarvi,EDM," $ 3,000,000.00 "
Cody Ceci,EDM," $ 3,250,000.00 "
Jesper Fast,CAR," $ 2,000,000.00 "
Andreas Athanasiou,CHI," $ 3,000,000.00 "
Max Domi,CHI," $ 3,000,000.00 "
Connor Murphy,CHI," $ 4,400,000.00 "
Evgeny Kuznetsov,WSH," $ 7,800,000.00 "
Lars Eller,WSH," $ 3,500,000.00 "
Sidney Crosby,PIT," $ 8,700,000.00 "
Charlie Coyle,BOS," $ 5,250,000.00 "
Denis Gurianov,DAL," $ 2,900,000.00 "
Warren Foegele,EDM," $ 2,750,000.00 "
Patrick Kane,CHI," $ 10,500,000.00 "
Jonathan Toews,CHI," $ 10,500,000.00 "
Jacob Middleton,MIN," $ 2,450,000.00 "
Nick Foligno,BOS," $ 3,800,000.00 "
Colton Sissons,NSH," $ 2,857,143.00 "
Sean Kuraly,CBJ," $ 2,500,000.00 "
Ivan Provorov,PHI," $ 6,750,000.00 "
James Reimer,SJS," $ 2,250,000.00 "
Ilya Lyubushkin,BUF," $ 2,750,000.00 "
Brock McGinn,PIT," $ 2,750,000.00 "
Kailer Yamamoto,EDM," $ 3,100,000.00 "
Jason Dickinson,CHI," $ 2,650,000.00 "
Adin Hill,VEG," $ 2,175,000.00 "
Filip Chytil,NYR," $ 2,300,000.00 "
Kaapo Kahkonen,SJS," $ 2,750,000.00 "
Ivan Barbashev,STL," $ 2,250,000.00 "
Joel Edmundson,MTL," $ 3,500,000.00 "
Anton Forsberg,OTT," $ 2,750,000.00 "
Vitek Vanecek,NJD," $ 3,400,000.00 "
"Comtois, Maxime",ANA," $ 2,037,500.00 "
Mathieu Joseph,OTT," $ 2,950,000.00 "
Erik Haula,NJD," $ 2,375,000.00 "
Jordan Greenway,MIN," $ 3,000,000.00 "
Kirby Dach,MTL," $ 3,362,500.00 "
Brandon Tanev,SEA," $ 3,500,000.00 "
Jonathan Quick,LAK," $ 5,800,000.00 "
Dominik Kubalík,DET," $ 2,500,000.00 "
Barclay Goodrow,NYR," $ 3,641,667.00 "
Casey Cizikas,NYI," $ 2,500,000.00 "
Alexander Romanov,NYI," $ 2,500,000.00 "
Scott Laughton,PHI," $ 3,000,000.00 "
Ian Cole,TBL," $ 3,000,000.00 "
William Nylander,TOR," $ 6,962,366.00 "
Patrik Nemeth,ARI," $ 2,500,000.00 "
Martin Necas,CAR," $ 3,000,000.00 "
Luke Kunin,SJS," $ 2,750,000.00 "
Oskar Lindblom,SJS," $ 2,500,000.00 "
Jack Eichel,VEG," $ 10,000,000.00 "
Jeff Skinner,BUF," $ 9,000,000.00 "
Casey Mittelstadt,BUF," $ 2,500,000.00 "
Henri Jokiharju,BUF," $ 2,500,000.00 "
Carter Verhaeghe,FLA," $ 4,166,667.00 "
Gustav Forsling,FLA," $ 2,666,667.00 "
Radko Gudas,FLA," $ 2,500,000.00 "
Dante Fabbro,NSH," $ 2,400,000.00 "
Adam Erne,DET," $ 2,100,000.00 "
Zemgus Girgensons,BUF," $ 2,200,000.00 "
Teddy Blueger,PIT," $ 2,200,000.00 "
Dillon Dube,CGY," $ 2,300,000.00 "
Tyson Jost,MIN," $ 2,000,000.00 "
Dmitry Kulikov,ANA," $ 2,250,000.00 "
Phillip Danault,LAK," $ 5,500,000.00 "
Trevor Moore,LAK," $ 1,875,000.00 "
Olli Maatta,DET," $ 2,250,000.00 "
Pierre Engvall,TOR," $ 2,250,000.00 "
Karel Vejmelka,ARI," $ 2,725,000.00 "
Pavel Francouz,COL," $ 2,000,000.00 "
Antti Raanta,CAR," $ 2,000,000.00 "
Mario Ferraro,SJS," $ 3,250,000.00 "
Yegor Sharangovich,NJD," $ 2,000,000.00 "
Nick Bonino,SJS," $ 2,050,000.00 "
Travis Hamonic,OTT," $ 3,000,000.00 "
Alex Goligoski,MIN," $ 2,000,000.00 "
Jeremy Lauzon,NSH," $ 2,000,000.00 "
Martin Jones,SEA," $ 2,000,000.00 "
Scott Mayfield,NYI," $ 1,450,000.00 "
Vladislav Namestnikov,TBL," $ 2,500,000.00 "
Justin Holl,TOR," $ 2,000,000.00 "
Juuso Valimaki,ARI," $ 1,550,000.00 "
Evan Rodrigues,COL," $ 2,000,000.00 "
Nico Sturm,SJS," $ 2,000,000.00 "
Erik Karlsson,SJS," $ 11,500,000.00 "
Nick Jensen,WSH," $ 2,500,000.00 "
Brad Marchand,BOS," $ 6,125,000.00 "
Tomas Nosek,BOS," $ 1,750,000.00 "
Aaron Ekblad,FLA," $ 7,500,000.00 "
Brent Burns,CAR," $ 5,280,000.00 "
Niko Mikkola,STL," $ 1,900,000.00 "
Isac Lundestrom,ANA," $ 1,800,000.00 "
Kaapo Kakko,NYR," $ 2,100,000.00 "
Jordan Martinook,CAR," $ 1,800,000.00 "
Ethan Bear,VAN," $ 1,800,000.00 "
Anders Bjork,BUF," $ 1,600,000.00 "
Jacob Bryson,BUF," $ 1,850,000.00 "
Ryan Reaves,NYR," $ 1,750,000.00 "
Cal Clutterbuck,NYI," $ 1,750,000.00 "
William Carrier,VEG," $ 1,400,000.00 "
Conor Sheary,WSH," $ 1,500,000.00 "
Jake Evans,MTL," $ 1,700,000.00 "
Yakov Trenin,NSH," $ 1,700,000.00 "
Vinnie Hinostroza,BUF," $ 1,700,000.00 "
Casey DeSmith,PIT," $ 1,800,000.00 "
Blake Lizotte,LAK," $ 1,675,000.00 "
David Kampf,TOR," $ 1,500,000.00 "
Brayden McNabb,VEG," $ 2,850,000.00 "
Tage Thompson,BUF," $ 1,400,000.00 "
Nic Dowd,WSH," $ 1,300,000.00 "
Troy Terry,ANA," $ 1,450,000.00 "
"Blais, Samuel",NYR," $ 1,525,000.00 "
Austin Watson,OTT," $ 1,500,000.00 "
Jason Robertson,DAL," $ 7,750,000.00 "
Luke Glendening,DAL," $ 1,500,000.00 "
Colin Miller,DAL," $ 1,850,000.00 "
Jani Hakanpaa,DAL," $ 1,500,000.00 "
Kevin Lankinen,NSH," $ 1,500,000.00 "
Eric Robinson,CBJ," $ 1,600,000.00 "
Matt Martin,NYI," $ 1,500,000.00 "
Travis Boyd,ARI," $ 1,750,000.00 "
Paul Stastny,CAR," $ 1,500,000.00 "
Alexander Barabanov,SJS," $ 2,500,000.00 "
Brett Howden,VEG," $ 1,500,000.00 "
Phil Kessel,VEG," $ 1,500,000.00 "
Craig Anderson,BUF," $ 1,500,000.00 "
Patrice Bergeron,BOS," $ 2,500,000.00 "
Eetu Luostarinen,FLA," $ 1,500,000.00 "
Michael Rasmussen,DET," $ 1,460,000.00 "
Eeli Tolvanen,NSH," $ 1,450,000.00 "
Jordan Oesterle,DET," $ 1,350,000.00 "
Brandon Hagel,TBL," $ 1,500,000.00 "
Barrett Hayton,ARI," $ 1,775,000.00 "
Frederick Gaudreau,MIN," $ 1,200,000.00 "
Jake Oettinger,DAL," $ 4,000,000.00 "
Morgan Geekie,SEA," $ 1,400,000.00 "
Sean Durzi,LAK," $ 1,700,000.00 "
Keegan Kolesar,VEG," $ 1,400,000.00 "
Tyler Motte,OTT," $ 1,350,000.00 "
Caleb Jones,CHI," $ 1,350,000.00 "
Riley Stillman,VAN," $ 1,350,000.00 "
Nick Holden,OTT," $ 1,300,000.00 "
Joonas Korpisalo,CBJ," $ 1,300,000.00 "
Carl Grundstrom,LAK," $ 1,300,000.00 "
Timothy Liljegren,TOR," $ 1,400,000.00 "
Kevin Rooney,CGY," $ 1,300,000.00 "
Max Jones,ANA," $ 1,295,000.00 "
Jaroslav Halak,NYR," $ 1,500,000.00 "
Derek Ryan,EDM," $ 1,250,000.00 "
Owen Tippett,PHI," $ 1,500,000.00 "
Ross Colton,TBL," $ 1,125,000.00 "
Troy Stecher,ARI," $ 1,250,000.00 "
Andrew Cogliano,COL," $ 1,250,000.00 "
Noel Acciari,STL," $ 1,250,000.00 "
Thomas Greiss,STL," $ 1,250,000.00 "
"Brown, Joshua",ARI," $ 1,275,000.00 "
"Benning, Matthew",SJS," $ 1,250,000.00 "
Jonas Siegenthaler,NJD," $ 1,125,000.00 "
Joel Kiviranta,DAL," $ 1,050,000.00 "
Ryan Donato,SEA," $ 1,200,000.00 "
Kieffer Bellows,PHI," $ 1,200,000.00 "
Colin Blackwell,CHI," $ 1,200,000.00 "
Garnet Hathaway,WSH," $ 1,500,000.00 "
Charlie Lindgren,WSH," $ 1,100,000.00 "
Colin White,FLA," $ 1,200,000.00 "
"Merrill, Jon",MIN," $ 1,200,000.00 "
Michael Bunting,TOR," $ 950,000.00 "
Sam Lafferty,CHI," $ 1,150,000.00 "
Trent Frederic,BOS," $ 1,050,000.00 "
Christian Fischer,ARI," $ 1,125,875.00 "
Ross Johnston,NYI," $ 1,100,000.00 "
Marcus Johansson,WSH," $ 1,100,000.00 "
Jake Walman,DET," $ 1,050,000.00 "
Wayne Simmonds,TOR," $ 900,000.00 "
Michael McLeod,NJD," $ 975,000.00 "
Brendan Smith,NJD," $ 1,100,000.00 "
Jamie Benn,DAL," $ 9,500,000.00 "
Scott Wedgewood,DAL," $ 1,000,000.00 "
Michael Anderson,LAK," $ 1,000,000.00 "
Artemi Panarin,NYR," $ 11,642,857.00 "
Mika Zibanejad,NYR," $ 8,500,000.00 "
Chris Kreider,NYR," $ 6,500,000.00 "
Connor McDavid,EDM," $ 12,500,000.00 "
Leon Draisaitl,EDM," $ 8,500,000.00 "
Joel Farabee,PHI," $ 5,000,000.00 "
Nicolas Deslauriers,PHI," $ 1,750,000.00 "
Justin Braun,PHI," $ 1,000,000.00 "
Steven Stamkos,TBL," $ 8,500,000.00 "
Pierre-Edouard Bellemare,TBL," $ 1,000,000.00 "
Corey Perry,TBL," $ 1,000,000.00 "
Shayne Gostisbehere,ARI," $ 4,500,000.00 "
Ryan O'Reilly,STL," $ 7,500,000.00 "
Jujhar Khaira,CHI," $ 975,000.00 "
Curtis Lazar,VAN," $ 1,000,000.00 "
Mark Stone,VEG," $ 9,500,000.00 "
Alex Pietrangelo,VEG," $ 8,800,000.00 "
Zach Whitecloud,VEG," $ 2,750,000.00 "
Alex Ovechkin,WSH," $ 9,500,000.00 "
Trevor van Riemsdyk,WSH," $ 950,000.00 "
Danton Heinen,PIT," $ 1,000,000.00 "
David Krejci,BOS," $ 1,000,000.00 "
Anton Stralman,BOS," $ 1,000,000.00 "
Aleksander Barkov,FLA," $ 10,000,000.00 "
Matthew Tkachuk,FLA," $ 9,500,000.00 "
"Montembeault, Samuel",MTL," $ 1,000,000.00 "
"Petersen, Cal",LAK," $ 5,000,000.00 "
"Maroon, Patrick",TBL," $ 1,000,000.00 "
Kurtis MacDermid,COL," $ 987,500.00 "
Jakub Zboril,BOS," $ 1,137,500.00 "
Dylan Gambrell,OTT," $ 950,000.00 "
Anthony Stolarz,ANA," $ 950,000.00 "
Gustav Lindstrom,DET," $ 850,000.00 "
Devin Shore,EDM," $ 850,000.00 "
Steven Lorentz,SJS," $ 1,050,000.00 "
Noah Gregor,SJS," $ 950,000.00 "
Jack Johnson,CHI," $ 950,000.00 "
Jarred Tinordi,CHI," $ 900,000.00 "
