PLAYER,POS,CAP HIT
"Connor McDavid
 EDM",C,"$12,500,000"
"Artemi Panarin
 NYR",LW,"$11,642,857"
"Auston Matthews
 TOR",C,"$11,640,250"
"Erik Karlsson
 SJS",D,"$11,500,000"
"John Tavares
 TOR",C,"$11,000,000"
"Drew Doughty
 LAK",D,"$11,000,000"
"Mitchell Marner
 TOR",RW,"$10,903,000"
"Carey Price
 MTL",G,"$10,500,000"
"Patrick Kane
 CHI",RW,"$10,500,000"
"Jonathan Toews
 CHI",C,"$10,500,000"
"Jack Eichel
 VGK",C,"$10,000,000"
"Sergei Bobrovsky
 FLA",G,"$10,000,000"
"Anze Kopitar
 LAK",C,"$10,000,000"
"Tyler Seguin
 DAL",C,"$9,850,000"
"Mark Stone
 VGK",RW,"$9,500,000"
"Alex Ovechkin
 WAS",LW,"$9,500,000"
"Andrei Vasilevskiy
 TBL",G,"$9,500,000"
"Nikita Kucherov
 TBL",RW,"$9,500,000"
"Evgeni Malkin
 PIT",C,"$9,500,000"
"Jamie Benn
 DAL",LW,"$9,500,000"
"Mikko Rantanen
 COL",RW,"$9,250,000"
"Nicklas Backstrom
 WAS",C,"$9,200,000"
"Roman Josi
 NSH",D,"$9,059,000"
"Jeff Skinner
 BUF",LW,"$9,000,000"
"Cale Makar
 COL",D,"$9,000,000"
"P.K. Subban
 NJD",D,"$9,000,000"
"Dougie Hamilton
 NJD",D,"$9,000,000"
"Kirill Kaprizov
 MIN",LW,"$9,000,000"
"Alex Pietrangelo
 VGK",D,"$8,800,000"
"Sidney Crosby
 PIT",C,"$8,700,000"
"Leon Draisaitl
 EDM",C,"$8,500,000"
"Steven Stamkos
 TBL",C,"$8,500,000"
"Sebastian Aho
 CAR",LW,"$8,460,250"
"Miro Heiskanen
 DAL",D,"$8,450,000"
"Claude Giroux
 FLA",C,"$8,275,000"
"Jakub Voracek
 CBJ",RW,"$8,250,063"
"Blake Wheeler
 WPG",RW,"$8,250,000"
"Oliver Ekman-Larsson
 VAN",D,"$8,250,000"
"Brady Tkachuk
 OTT",LW,"$8,208,571"
"Thomas Chabot
 OTT",D,"$8,000,000"
"John Carlson
 WAS",D,"$8,000,000"
"Matt Duchene
 NSH",C,"$8,000,000"
"Ryan Johansen
 NSH",C,"$8,000,000"
"Brent Burns
 SJS",D,"$8,000,000"
"Logan Couture
 SJS",C,"$8,000,000"
"Jacob Trouba
 NYR",D,"$8,000,000"
"Victor Hedman
 TBL",D,"$7,875,000"
"Shea Weber
 MTL",D,"$7,857,143"
"Quinn Hughes
 VAN",D,"$7,850,000"
