Team,Season,GP,W,L,T,OT,P,P%,RW,ROW,S/O Win,GF,GA,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%
Arizona Coyotes,20182019,82,39,35,--,8,86,0.524,30,35,4,209,220,2.55,2.68,16.3,85,12.8,92,30.7,30.8,47.9
Boston Bruins,20202021,56,33,16,--,7,73,0.652,25,29,4,164,134,2.93,2.39,21.9,86,18.1,91,33.3,27.1,55.3
Vegas Golden Knights,20202021,56,40,14,--,2,82,0.732,30,39,1,190,122,3.39,2.18,17.8,86.8,16.7,89.6,32.7,27.3,49.5
Tampa Bay Lightning,20182019,82,62,16,--,4,128,0.78,49,56,6,319,221,3.89,2.7,28.2,85,27.1,89.5,32,32.1,51.2
Carolina Hurricanes,20212022,82,54,20,--,8,116,0.707,47,53,1,277,200,3.38,2.44,22,88,20.7,89.5,34.1,28.2,53.9
Boston Bruins,20162017,82,44,31,--,7,95,0.579,38,42,2,232,209,2.83,2.55,21.7,85.7,19.3,89.4,33.2,26.8,53.2
Carolina Hurricanes,20202021,56,36,12,--,8,80,0.714,27,32,4,175,134,3.13,2.39,25.6,85.2,22,89.2,32,28.2,53.9
Carolina Hurricanes,20162017,82,36,31,--,15,87,0.53,28,33,3,212,230,2.59,2.8,17.8,84.2,15.2,89.1,30.4,28.3,53.1
Columbus Blue Jackets,20182019,82,47,31,--,4,98,0.598,37,45,2,256,231,3.12,2.82,15.4,85,12.7,89,31.6,29.5,50.3
San Jose Sharks,20192020,70,29,36,--,5,63,0.45,22,27,2,180,225,2.57,3.21,17.5,85.7,14.3,88.8,30,30.6,48.9
Florida Panthers,20162017,82,35,36,--,11,81,0.494,23,30,5,205,231,2.5,2.82,17,85.3,14,88.6,32.2,31.6,47.9
San Jose Sharks,20172018,82,45,27,--,10,100,0.61,35,40,5,247,226,3.01,2.76,20.6,84.8,19.5,88.4,33,30.3,51.3
New Jersey Devils,20182019,82,31,41,--,10,72,0.439,24,28,3,219,271,2.67,3.3,17.7,84.3,13.8,88.2,30.3,31.6,49.4
St. Louis Blues,20212022,82,49,22,--,11,109,0.665,43,47,2,309,239,3.77,2.91,27,84.1,24.9,88.2,30.4,31.6,50.2
Carolina Hurricanes,20192020,68,38,25,--,5,81,0.596,27,33,5,217,193,3.19,2.84,22.3,84,20.4,88.1,33.3,29.3,50.5
Anaheim Ducks,20162017,82,46,23,--,13,105,0.64,40,43,3,220,197,2.68,2.4,18.7,84.7,15.9,87.9,29.6,29.6,54.7
Toronto Maple Leafs,20212022,82,54,21,--,7,115,0.701,45,51,3,312,252,3.8,3.07,27.3,82.1,25.5,87.6,34.6,30.6,55.1
Boston Bruins,20172018,82,50,20,--,12,112,0.683,41,47,3,267,211,3.26,2.57,23.6,83.7,19.7,87.4,33,29.3,50.8
San Jose Sharks,20212022,82,32,37,--,13,77,0.47,22,29,3,211,261,2.57,3.18,19,85.2,13.9,87,29.3,32,49.6
Columbus Blue Jackets,20162017,82,50,24,--,8,108,0.659,39,48,2,247,193,3.01,2.35,19.9,82.5,19,87,31,30.4,48.6
Calgary Flames,20182019,82,50,25,--,7,107,0.652,45,50,0,289,223,3.52,2.72,19.3,79.7,16.7,87,32.4,28.1,52.4
New York Rangers,20202021,56,27,23,--,6,60,0.536,24,26,1,176,155,3.14,2.77,20.7,82.3,18.4,87,28.7,29.7,44.5
Los Angeles Kings,20172018,82,45,29,--,8,98,0.598,34,43,2,237,202,2.89,2.46,20.4,85,18.8,86.9,31,30.9,49.7
Anaheim Ducks,20172018,82,44,25,--,13,101,0.616,35,40,4,231,209,2.82,2.55,17.8,83.2,15.9,86.9,30.2,33.1,51.3
New York Islanders,20202021,56,32,17,--,7,71,0.634,24,28,4,152,125,2.71,2.23,18.8,83.7,18.8,86.7,29,28.4,51.4
Los Angeles Kings,20162017,82,39,35,--,8,86,0.524,25,37,2,199,201,2.43,2.45,19.1,84.6,17.8,86.6,31.1,25.9,50.8
Boston Bruins,20192020,70,44,14,--,12,100,0.714,38,44,0,227,167,3.24,2.39,25.2,84.3,22.1,86.6,32.1,30,51
New York Islanders,20212022,82,37,35,--,10,84,0.512,34,35,2,229,231,2.79,2.82,22.1,84.2,18.8,86.5,28.9,32.5,51.3
New Jersey Devils,20172018,82,44,29,--,9,97,0.591,33,39,5,243,240,2.96,2.93,21.4,81.8,19.1,86.4,31.7,31.9,47
New Jersey Devils,20192020,69,28,29,--,12,68,0.493,22,24,4,185,224,2.68,3.25,18,82.4,13.7,86.4,30.7,32.7,46.8
Calgary Flames,20212022,82,50,21,--,11,111,0.677,44,48,2,291,206,3.55,2.51,22.9,83.2,21.6,86,35.5,29,51.1
St. Louis Blues,20162017,82,46,29,--,7,99,0.604,38,44,2,233,216,2.84,2.63,21.3,84.8,19.2,85.9,28.4,28.4,50.3
Edmonton Oilers,20192020,71,37,25,--,9,83,0.585,31,35,2,223,215,3.14,3.03,29.5,84.4,24.5,85.9,29.6,32,49
Nashville Predators,20162017,82,41,29,--,12,94,0.573,35,39,2,238,220,2.9,2.68,18.9,80.9,16.6,85.9,31.2,30.1,51.4
