"","Player","Tm","Position","Cap_Hit"
"1","Connor McDavid
","EDM","C",12500000
"2","Artemi Panarin
","NYR","LW",11642857
"3","Auston Matthews
","TOR","C",11640250
"4","Erik Karlsson
","SJS","D",11500000
"5","John Tavares
","TOR","C",1.1e+07
"6","Drew Doughty
","LAK","D",1.1e+07
"7","Mitchell Marner
","TOR","RW",10903000
"8","Carey Price
","MTL","G",10500000
"9","Patrick Kane
","CHI","RW",10500000
"10","Jonathan Toews
","CHI","C",10500000
"11","Jack Eichel
","VGK","C",1e+07
"12","Sergei Bobrovsky
","FLA","G",1e+07
"13","Anze Kopitar
","LAK","C",1e+07
"14","Tyler Seguin
","DAL","C",9850000
"15","Mark Stone
","VGK","RW",9500000
"16","Alex Ovechkin
","WAS","LW",9500000
"17","Andrei Vasilevskiy
","TBL","G",9500000
"18","Nikita Kucherov
","TBL","RW",9500000
"19","Evgeni Malkin
","PIT","C",9500000
"20","Jamie Benn
","DAL","LW",9500000
"21","Mikko Rantanen
","COL","RW",9250000
"22","Nicklas Backstrom
","WAS","C",9200000
"23","Roman Josi
","NSH","D",9059000
"24","Jeff Skinner
","BUF","LW",9e+06
"25","Cale Makar
","COL","D",9e+06
"26","P.K. Subban
","NJD","D",9e+06
"27","Dougie Hamilton
","NJD","D",9e+06
"28","Kirill Kaprizov
","MIN","LW",9e+06
"29","Alex Pietrangelo
","VGK","D",8800000
"30","Sidney Crosby
","PIT","C",8700000
"31","Leon Draisaitl
","EDM","C",8500000
"32","Steven Stamkos
","TBL","C",8500000
"33","Sebastian Aho
","CAR","LW",8460250
"34","Miro Heiskanen
","DAL","D",8450000
"35","Claude Giroux
","FLA","C",8275000
"36","Jakub Voracek
","CBJ","RW",8250063
"37","Blake Wheeler
","WPG","RW",8250000
"38","Oliver Ekman-Larsson
","VAN","D",8250000
"39","Brady Tkachuk
","OTT","LW",8208571
"40","Thomas Chabot
","OTT","D",8e+06
"41","John Carlson
","WAS","D",8e+06
"42","Matt Duchene
","NSH","C",8e+06
"43","Ryan Johansen
","NSH","C",8e+06
"44","Brent Burns
","SJS","D",8e+06
"45","Logan Couture
","SJS","C",8e+06
"46","Jacob Trouba
","NYR","D",8e+06
"47","Victor Hedman
","TBL","D",7875000
"48","Shea Weber
","MTL","D",7857143
"49","Quinn Hughes
","VAN","D",7850000
"50","Evgeny Kuznetsov
","WAS","C",7800000
"51","Andrei Svechnikov
","CAR","RW",7750000
"52","Jared Spurgeon
","MIN","D",7575000
"53","Ryan O'Reilly
","STL","C",7500000
"54","Vladimir Tarasenko
","STL","RW",7500000
"55","Aaron Ekblad
","FLA","D",7500000
