playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8480192,2022,Johnathan Kovacevic,MTL,D,other,17,349.0,7.0,3.02,0.26,0.23,0.4,0.32,0.33,0.31,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,5.0,0.0,2.0,0.0,0.0,1.0,6.0,0.0,0.0,748.0,0.0,0.0,0.0,0.0,2.06,0.56,0.56,0.56,0.56,2.0,1.0,1.0,4.0,1.0,0.0,0.0,2.0,0.0,1.0,0.08,0.0,0.48,0.0,0.0,1.0,4.0,3.0,3.0,0.02,0.0,0.0,0.58,0.58,0.58,4.83,1.56,1.27,1.56,1.27,4.0,2.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0,5.0,0.03,0.0,1.53,0.0,0.0,1.0,6.0,6.0,6.0,0.14,0.0,0.0,1.7,1.7,1.39,1.89,6.45,13.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0
8480192,2022,Johnathan Kovacevic,MTL,D,all,17,17495.0,359.0,6.45,0.46,0.4,0.5,0.46,0.49,0.46,79.0,23.85,1.37,1.42,5.74,0.76,14.15,10.57,1.3,1.36,1.29,1.0,1.0,26.0,8.0,14.0,48.0,2.0,0.0,4.0,0.0,5.0,0.0,10.0,15.0,26.0,34.0,2.0,4.0,0.0,19.0,11.0,23.0,30.0,3.0,1.0,0.79,0.33,0.25,0.0,0.0,0.0,47.27,34.0,33.57,21.0,0.28,0.84,0.25,1.4,1.38,1.34,359.0,33.0,42.0,34.0,250.0,48.0,45.0,53.0,213.0,0.0,0.0,44662.0,4.0,6.0,3.0,15.0,146.54,14.15,13.5,14.06,13.42,154.0,47.0,71.0,272.0,15.0,16.0,5.0,152.0,29.0,20.0,4.5,3.69,5.95,5.0,3.0,7.0,270.16,201.0,198.9,2.06,4.67,4.13,12.08,11.96,11.78,154.68,16.32,15.5,16.56,15.72,158.0,55.0,63.0,276.0,13.0,14.0,2.0,145.0,50.0,18.0,4.22,6.36,5.74,5.0,5.0,3.0,277.83,213.0,214.56,2.43,3.23,3.23,15.52,15.72,15.11,34.34,50.66,654.0,769.0,0.0,0.0,0.0,0.0,0.0,0.0
8480192,2022,Johnathan Kovacevic,MTL,D,5on5,17,15290.0,313.0,6.45,0.52,0.46,0.54,0.47,0.52,0.48,76.0,23.85,1.37,1.42,5.74,0.76,14.15,10.57,1.3,1.36,1.29,1.0,1.0,26.0,8.0,13.0,47.0,2.0,0.0,4.0,0.0,5.0,0.0,10.0,15.0,26.0,34.0,2.0,4.0,0.0,18.0,6.0,21.0,30.0,3.0,1.0,0.79,0.33,0.25,0.0,0.0,0.0,46.27,34.0,33.57,19.0,0.28,0.84,0.25,1.4,1.38,1.34,313.0,31.0,28.0,33.0,221.0,48.0,39.0,45.0,181.0,0.0,0.0,34419.0,4.0,6.0,3.0,10.0,140.27,13.19,12.55,13.1,12.46,147.0,45.0,68.0,260.0,14.0,16.0,5.0,146.0,27.0,19.0,4.33,3.39,5.47,5.0,3.0,6.0,258.16,192.0,189.9,1.97,4.67,4.13,11.03,10.91,10.73,126.44,12.18,11.75,12.42,11.98,128.0,46.0,51.0,225.0,10.0,14.0,2.0,119.0,44.0,11.0,3.46,5.54,3.19,4.0,5.0,1.0,226.83,174.0,175.56,1.76,3.23,3.23,10.72,10.92,10.73,22.02,26.12,485.0,549.0,1.33,0.33,26.0,2.0,21.0,2.0
8480192,2022,Johnathan Kovacevic,MTL,D,4on5,17,1856.0,39.0,6.45,0.13,0.11,0.15,0.08,0.15,0.09,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,2.0,9.0,1.0,27.0,0.0,6.0,7.0,26.0,0.0,0.0,3568.0,0.0,0.0,0.0,0.0,4.21,0.4,0.4,0.4,0.4,5.0,1.0,2.0,8.0,0.0,0.0,0.0,4.0,2.0,0.0,0.1,0.3,0.0,0.0,0.0,0.0,8.0,6.0,6.0,0.08,0.0,0.0,0.47,0.47,0.47,23.41,2.58,2.48,2.58,2.48,26.0,7.0,12.0,45.0,2.0,0.0,0.0,25.0,6.0,2.0,0.74,0.82,1.03,1.0,0.0,1.0,45.0,33.0,33.0,0.53,0.0,0.0,3.11,3.11,2.99,1.04,8.5,13.0,142.0,0.09,0.0,2.0,0.0,2.0,0.0
8480192,2022,Johnathan Kovacevic,MTL,D,5on4,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8474149,2022,Evgenii Dadonov,MTL,R,other,14,156.0,2.0,2.95,0.3,0.12,0.33,0.47,0.25,0.37,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1016.0,0.0,0.0,0.0,0.0,1.41,0.8,0.8,0.8,0.8,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.09,0.7,0.0,0.0,0.0,3.0,2.0,2.0,0.02,0.0,0.0,0.82,0.82,0.82,4.07,1.89,1.84,1.89,1.84,4.0,2.0,0.0,6.0,2.0,0.0,0.0,2.0,0.0,4.0,0.15,0.0,1.74,0.0,0.0,2.0,6.0,6.0,6.0,0.09,0.0,0.0,1.98,1.98,1.91,1.42,9.98,22.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
8474149,2022,Evgenii Dadonov,MTL,R,all,14,11484.0,253.0,3.71,0.44,0.41,0.48,0.48,0.47,0.48,120.0,16.64,2.06,1.18,3.53,0.55,7.95,6.72,1.96,1.98,1.88,0.0,0.0,19.0,3.0,6.0,28.0,1.0,1.0,2.0,0.0,4.0,1.0,6.0,8.0,18.0,21.0,2.0,4.0,1.0,2.0,5.0,8.0,15.0,2.0,5.0,0.35,0.33,1.38,0.0,0.0,1.0,27.39,22.0,21.35,5.0,0.25,0.43,0.84,1.48,1.44,1.43,253.0,34.0,32.0,42.0,145.0,52.0,34.0,27.0,140.0,1.0,2.0,39768.0,4.0,10.0,5.0,7.0,91.95,9.09,8.63,8.98,8.51,96.0,28.0,44.0,168.0,4.0,9.0,0.0,93.0,17.0,14.0,2.6,2.29,4.19,3.0,0.0,1.0,166.88,124.0,122.45,1.35,2.12,2.12,8.33,8.24,8.14,102.9,11.75,10.55,11.88,10.68,99.0,42.0,43.0,184.0,12.0,9.0,2.0,98.0,29.0,14.0,3.01,3.62,5.13,4.0,0.0,8.0,186.66,141.0,143.22,1.67,1.92,1.92,11.5,11.64,10.93,30.09,43.38,623.0,676.0,0.0,0.0,0.0,0.0,0.0,0.0
8474149,2022,Evgenii Dadonov,MTL,R,5on5,14,9677.0,211.0,3.71,0.58,0.46,0.54,0.49,0.54,0.48,97.0,15.9,2.03,1.15,3.42,0.52,7.73,6.15,1.93,1.94,1.85,0.0,0.0,18.0,3.0,4.0,25.0,1.0,1.0,2.0,0.0,4.0,1.0,6.0,7.0,17.0,20.0,2.0,4.0,0.0,1.0,3.0,7.0,14.0,2.0,5.0,0.32,0.33,1.38,0.0,0.0,1.0,24.39,21.0,20.35,5.0,0.24,0.43,0.84,1.44,1.4,1.39,211.0,30.0,22.0,40.0,119.0,47.0,27.0,21.0,116.0,0.0,1.0,31038.0,4.0,8.0,4.0,5.0,83.95,7.78,7.33,7.67,7.22,87.0,25.0,39.0,151.0,4.0,9.0,0.0,84.0,15.0,13.0,2.28,2.01,3.49,3.0,0.0,1.0,149.88,112.0,110.45,1.19,2.12,2.12,6.86,6.77,6.69,69.43,5.66,5.54,5.79,5.66,67.0,28.0,32.0,127.0,7.0,4.0,1.0,71.0,21.0,3.0,2.29,2.65,0.72,4.0,0.0,3.0,129.66,95.0,97.22,0.91,0.67,0.67,5.9,6.04,5.96,21.67,25.67,482.0,510.0,0.35,0.04,4.0,4.0,3.0,2.0
8474149,2022,Evgenii Dadonov,MTL,R,4on5,14,1085.0,27.0,1.57,0.04,0.09,0.08,0.11,0.1,0.13,33.0,0.75,0.03,0.03,0.12,0.03,0.22,0.57,0.03,0.03,0.03,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.01,0.0,0.0,0.04,0.04,0.04,27.0,1.0,10.0,2.0,14.0,2.0,4.0,4.0,17.0,1.0,0.0,2261.0,0.0,0.0,0.0,0.0,2.5,0.17,0.17,0.17,0.17,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.04,0.0,0.0,0.21,0.21,0.21,26.01,3.91,2.89,3.91,2.89,24.0,11.0,9.0,44.0,3.0,5.0,1.0,21.0,8.0,6.0,0.51,0.97,2.44,0.0,0.0,3.0,44.0,35.0,35.0,0.62,1.25,1.25,3.28,3.28,2.71,0.3,2.91,9.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0
8474149,2022,Evgenii Dadonov,MTL,R,5on4,14,566.0,13.0,2.31,0.56,0.79,0.71,0.82,0.6,0.8,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,0.0,0.0,11.0,3.0,3.0,2.0,5.0,0.0,0.0,2515.0,0.0,0.0,0.0,0.0,4.1,0.34,0.33,0.34,0.33,4.0,2.0,4.0,10.0,0.0,0.0,0.0,5.0,1.0,0.0,0.15,0.19,0.0,0.0,0.0,0.0,10.0,6.0,6.0,0.1,0.0,0.0,0.44,0.44,0.42,2.68,0.27,0.27,0.27,0.27,3.0,1.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,1.0,0.04,0.0,0.22,0.0,0.0,0.0,4.0,4.0,4.0,0.04,0.0,0.0,0.31,0.31,0.31,3.18,0.84,54.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
