Player,Tm,Position,Cap_Hit
"Connor McDavid
",EDM,C,12500000
"Artemi Panarin
",NYR,LW,11642857
"Auston Matthews
",TOR,C,11640250
"Erik Karlsson
",SJS,D,11500000
"John Tavares
",TOR,C,11000000
"Drew Doughty
",LAK,D,11000000
"Mitchell Marner
",TOR,RW,10903000
"Carey Price
",MTL,G,10500000
"Patrick Kane
",CHI,RW,10500000
"Jonathan Toews
",CHI,C,10500000
"Jack Eichel
",VGK,C,10000000
"Sergei Bobrovsky
",FLA,G,10000000
"Anze Kopitar
",LAK,C,10000000
"Tyler Seguin
",DAL,C,9850000
"Mark Stone
",VGK,RW,9500000
"Alex Ovechkin
",WAS,LW,9500000
"Andrei Vasilevskiy
",TBL,G,9500000
"Nikita Kucherov
",TBL,RW,9500000
"Evgeni Malkin
",PIT,C,9500000
"Jamie Benn
",DAL,LW,9500000
"Mikko Rantanen
",COL,RW,9250000
"Nicklas Backstrom
",WAS,C,9200000
"Roman Josi
",NSH,D,9059000
"Jeff Skinner
",BUF,LW,9000000
"Cale Makar
",COL,D,9000000
"P.K. Subban
",NJD,D,9000000
"Dougie Hamilton
",NJD,D,9000000
"Kirill Kaprizov
",MIN,LW,9000000
"Alex Pietrangelo
",VGK,D,8800000
"Sidney Crosby
",PIT,C,8700000
"Leon Draisaitl
",EDM,C,8500000
"Steven Stamkos
",TBL,C,8500000
"Sebastian Aho
",CAR,LW,8460250
"Miro Heiskanen
",DAL,D,8450000
"Claude Giroux
",FLA,C,8275000
"Jakub Voracek
",CBJ,RW,8250063
"Blake Wheeler
",WPG,RW,8250000
"Oliver Ekman-Larsson
",VAN,D,8250000
"Brady Tkachuk
",OTT,LW,8208571
"Thomas Chabot
",OTT,D,8000000
"John Carlson
",WAS,D,8000000
"Matt Duchene
",NSH,C,8000000
"Ryan Johansen
",NSH,C,8000000
"Brent Burns
",SJS,D,8000000
"Logan Couture
",SJS,C,8000000
"Jacob Trouba
",NYR,D,8000000
"Victor Hedman
",TBL,D,7875000
"Shea Weber
",MTL,D,7857143
"Quinn Hughes
",VAN,D,7850000
"Evgeny Kuznetsov
",WAS,C,7800000
"Andrei Svechnikov
",CAR,RW,7750000
"Jared Spurgeon
",MIN,D,7575000
"Ryan O'Reilly
",STL,C,7500000
"Vladimir Tarasenko
",STL,RW,7500000
"Aaron Ekblad
",FLA,D,7500000
"Patrik Laine
",CBJ,RW,7500000
"Elias Pettersson
",VAN,C,7350000
"Nico Hischier
",NJD,C,7250000
"Kris Letang
",PIT,D,7250000
"Clayton Keller
",ARI,C,7150000
